Country,Uri,Popularity,Title,Artist,Album/Single,Genre,Artist_followers,Explicit,Album,Release_date,Track_number,Tracks_in_album,danceability,energy,key,loudness,mode,speechiness,acoustics,instrumentalness,liveliness,valence,tempo,duration_ms,time_signature,Genre_new,Days_since_release,USA,Popu_max,Top10_dummy,Top50_dummy,Cluster
USA,https://open.spotify.com/track/56kXYt4KRoUq3rzkPdjquB,2773.6,audi.,Smokepurpp,single,melodic rap,2091715,TRUE,Audi.,42874,1,1,0.79,0.479,7,-5.999,1,0.0635,0.017,0,0.0969,0.223,123.005,160000,4,rap,1272,1,125,0,0,english speaking and nordic
USA,https://open.spotify.com/track/7icOlPlKJ3JSuZUo1FNdzs,44.8,love is so sweet,Missing Seoul,single,n-a,5877,FALSE,Mellow Nights,43987,1,2,0.809,0.29,0,-11.308,1,0.127,0.385,0.000127,0.0685,0.594,114.818,127304,4,else,162,1,145,0,0,english speaking and nordic
USA,https://open.spotify.com/track/7uHO4AmKtyGa5v5fsElGoC,92.8,you spin me round,Dead Or Alive,album,dance rock,241510,FALSE,Youthquake,31132,1,11,0.567,0.943,6,-7.992,0,0.0387,0.0308,0.0966,0.544,0.965,128.207,199667,4,rock,13008,1,114,0,0,english speaking and nordic
USA,https://open.spotify.com/track/1unBUyjeQUDiJ8N89XiDrr,60,glimmer,Tame Impala,album,australian psych,4300741,FALSE,The Slow Rush,43875,11,12,0.673,0.627,5,-8.469,0,0.0377,0.136,0.424,0.366,0.761,117.911,128827,4,dance/electronic,274,1,133,0,0,english speaking and nordic
USA,https://open.spotify.com/track/5qPfvvKDCoXG3rzgztsJQG,132.2,ribbon in the sky,Rod Wave,album,florida rap,1316706,TRUE,Pray 4 Love,43924,10,14,0.412,0.738,0,-6.203,1,0.236,0.253,0,0.114,0.398,80.375,163161,4,rap,225,1,85,0,0,english speaking and nordic
USA,https://open.spotify.com/track/0RO3tjH2cfyoGHLynijFcc,18.4,women,Florida Georgia Line - Jason Derulo,single,contemporary country,4023034,FALSE,Women,43497,1,1,0.368,0.592,6,-4.317,1,0.0385,0.425,0,0.0849,0.451,117.988,211507,3,country,652,1,178,0,0,english speaking and nordic
USA,https://open.spotify.com/track/593W4qZOwwdqF6YnimJjL6,553.75,doves in the wind,SZA - Kendrick Lamar,album,pop,3840363,TRUE,Ctrl,42895,3,14,0.692,0.713,10,-4.489,0,0.351,0.343,0,0.102,0.615,137.36,266080,4,pop,1254,1,65,0,0,english speaking and nordic
USA,https://open.spotify.com/track/5j2qzYh9IuMXi5xq6Yk02Q,2.4,issues,PnB Rock - Russ,single,melodic rap,2747617,TRUE,Issues (feat. Russ),43034,1,1,0.655,0.642,9,-6.758,1,0.0729,0.203,0.000023,0.11,0.208,83.974,232857,4,rap,1115,1,198,0,0,english speaking and nordic
USA,https://open.spotify.com/track/2IGr3q6ljcpLvHDFLtI0yW,12,look alive,Rae Sremmurd,album,hip hop,6127363,TRUE,SremmLife 2 (Deluxe),42594,4,14,0.786,0.583,0,-7.415,1,0.0393,0.0552,0.00000184,0.326,0.229,120.024,228000,4,hip hop,1546,1,191,0,0,english speaking and nordic
USA,https://open.spotify.com/track/7nz7N7kYxYAir3mh02OBIv,107.1,without you,Jennifer Ormond,single,n-a,336,FALSE,Without You,43728,1,1,0.131,0.197,1,-16.552,0,0.0361,0.984,0.803,0.165,0.173,81.355,193254,3,else,421,1,75,0,0,english speaking and nordic
USA,https://open.spotify.com/track/6hkQ6OQ6nhe7QCckH91aGa,170.9,victory lap,Nipsey Hussle - Stacy Barthe,album,conscious hip hop,1750629,TRUE,Victory Lap,43147,1,16,0.597,0.755,4,-2.209,0,0.052,0.0423,0,0.582,0.0467,89.146,238333,4,hip hop,1002,1,79,0,0,english speaking and nordic
USA,https://open.spotify.com/track/06RzVT7uWMYv2fPTyiOy1m,249.6,money convo,21 Savage,album,atl hip hop,8668809,TRUE,Issa Album,42922,11,14,0.821,0.276,1,-10.556,1,0.123,0.0392,0.0233,0.11,0.0569,144.896,213427,4,hip hop,1227,1,114,0,0,english speaking and nordic
